,name,country,clouds,humidity,temp,max_temp,wind_spd,lat,lon
146,Lectoure,FR,72,93,52.29,55.0,5.82,43.934639,0.62107
147,Pignans,FR,8,62,55.81,57.2,6.93,43.299999,6.21667
148,Tezze,IT,8,76,45.82,46.99,3.42,45.6866,11.7036
149,Bojong,ID,97,89,75.85,75.85,0.87,-7.3858,108.494102
150,Puisseguin,FR,83,100,50.72,52.0,2.24,44.933331,-0.06667000000000001
151,Saint-Marcory,FR,68,100,49.64,52.0,2.24,44.716671,0.9333300000000001
152,Isla Verde,AR,1,26,81.77,81.77,16.33,-28.65,-64.150002
153,Dniprorudne,UA,17,77,57.96,59.0,6.71,47.381691000000004,34.976521
154,Tungawan,PH,100,83,79.5,79.5,1.92,7.50806,122.371109
155,Gaulzhofen,DE,69,93,38.17,44.01,1.12,48.48333,10.98333
156,Fuliang,CN,93,82,65.98,65.98,3.71,29.37639,117.246674
157,Herzhorn,DE,100,90,46.69,48.0,1.99,53.783298,9.48333
158,Cantù,IT,87,65,48.0,48.0,1.01,45.729382,9.14054
159,Oberreißen,DE,100,91,46.33,46.99,5.5,51.083302,11.4167
160,Pyrbaum,DE,100,90,40.32,41.0,1.92,49.298611,11.28972
161,Kincumber South,AU,100,64,65.75,69.01,3.0,-33.48333,151.383331
162,Baros,ID,99,93,68.68,68.68,3.15,-7.0746,108.044197
163,Moshny,UA,0,75,59.29,59.29,8.7,49.514729,31.74757
164,Haute-Loire,FR,90,93,46.4,46.4,2.24,45.083328,4.0
165,Pagelaran,ID,100,84,77.99,77.99,4.09,-6.433,105.857201
166,Allan,CA,62,44,48.69,48.99,8.01,51.883369,-106.067902
167,Maella,ES,71,57,56.16,59.0,10.0,41.122509,0.13926000000000002
168,Fingig,LU,100,86,43.48,45.0,5.7,49.603611,5.90083
169,Thürkow,DE,75,87,48.6,48.99,6.93,53.833302,12.5667
170,Burnley,GB,83,98,48.33,48.99,1.01,53.799999,-2.23333
171,Pommerit-Jaudy,FR,39,87,46.44,48.2,2.24,48.73333,-3.23333
172,Gunjur Kuta,GM,20,88,80.6,80.6,4.7,13.53333,-14.11667
173,Jonaswalde,DE,100,87,45.46,46.99,6.93,50.833328,12.3
174,Chalkwell,GB,40,81,51.4,52.0,12.75,51.543671,0.6724
175,Stadt Winterthur (Kreis 1) / Heiligberg,CH,40,86,41.41,42.01,4.7,47.494091,8.72334
176,Limbo,PH,100,92,75.99,75.99,5.32,7.25167,124.243889
177,Vizmanos,ES,75,81,49.44,53.6,5.82,42.023418,-2.40869
178,Kebonan,ID,87,81,75.7,75.7,1.52,-8.2261,113.132301
179,Villanúa,ES,51,93,51.49,52.0,5.82,42.689251,-0.5135200000000001
180,Oelixdorf,DE,100,92,45.91,48.0,7.18,53.933331,9.56667
181,Maimará,AR,94,54,59.41,59.41,6.78,-23.62392,-65.407967
182,Landkreis Bautzen,DE,100,94,45.0,46.0,11.01,51.166672,14.46667
183,Guarantã,BR,59,33,85.68,85.68,6.78,-21.895,-49.589722
184,Stegaurach,DE,99,80,41.2,43.0,3.22,49.866699,10.8333
185,Llangothlin,AU,0,38,64.29,66.0,5.99,-30.133329,151.683334
186,Cajaruro,PE,16,53,81.46,81.46,3.6,-5.73639,-78.42556
187,Palattae,ID,20,94,75.2,75.2,3.36,-4.9711,120.112701
188,Siao,TH,75,100,73.4,73.4,2.24,14.79583,104.670174
189,Port-sur-Saône,FR,100,87,46.4,46.4,1.12,47.68774,6.05011
190,Pétionville,HT,64,83,75.09,75.09,2.84,18.512501,-72.285278
191,Santa Anita,HN,75,65,80.6,80.6,5.82,14.28333,-88.183327
192,Pouembout,NC,0,60,83.84,83.84,2.8,-21.107559,164.983414
193,Marigot,LC,20,88,81.32,82.4,7.92,13.96667,-61.0
194,Zuienkerke,BE,100,80,48.38,48.99,3.0,51.25248,3.13613
195,Edna,US,1,33,57.4,57.99,6.93,43.384972,-96.094467
196,Aḩmadābād,IR,0,26,30.2,30.2,2.24,32.26667,50.849998
